Month     Less0   Lo30  Med40   Hi30   Lo20   Qnt2   Qnt3   Qnt4   Hi20   Lo10   Dec2   Dec3   Dec4   Dec5   Dec6   Dec7   Dec8   Dec9   Hi10
196107    9.93    3.05    3.40    1.15    1.65    4.70    3.61    1.12    1.77    1.76    1.27    5.09    3.53    3.47    3.73    1.94    0.52    1.01    2.51
196108   10.03    3.16    1.87    2.07    4.16    2.20    1.11    1.50    2.54    4.35    3.52    1.78    3.47    1.99    0.37    1.41    1.57    0.00    5.00
196109   -3.36   -1.19   -3.09   -3.68   -0.89   -1.90   -3.43   -4.11   -2.09   -0.68   -1.60   -1.62   -2.72   -2.95   -3.84   -2.40   -5.36   -4.59    0.21
196110   -1.58    2.27    3.91    2.54    3.39    1.59    3.95    3.32    1.00    3.24    3.89    0.65    4.44    2.54    5.19    2.14    4.20    1.37    0.68
196111   12.54    4.90    4.20    4.35    3.56    6.37    4.16    3.81    3.99    3.13    5.02    6.90    4.82    3.95    4.34    2.57    4.72    4.47    3.57
196112  -11.49   -0.23    0.33    1.49   -1.73    0.78    1.90    2.17   -0.13   -1.30   -3.15    1.93   -2.63    1.30    2.40    0.75    3.20    0.76   -0.93
196201   -1.62   -4.99   -1.81    0.74   -5.79   -3.70   -1.37   -0.18    1.57   -6.57   -3.09   -3.87   -3.16   -3.73    0.60   -0.28   -0.11    0.93    2.15
196202   -5.61    1.84    2.27    2.35    1.67    1.99    2.71    2.37    1.56    1.33    2.82    2.06    1.77    2.32    3.02    1.26    3.16    3.26    0.02
196203   -5.63   -0.34   -0.38   -1.85    0.16   -0.77   -0.50   -1.07   -2.39    0.15    0.19   -1.01   -0.03   -0.09   -0.83   -0.72   -1.30   -0.51   -4.14
196204  -11.19   -6.63   -5.76   -6.27   -7.80   -5.13   -5.88   -6.26   -5.96   -8.44   -5.70   -5.01   -5.52   -6.95   -5.02   -5.80   -6.58   -6.86   -5.09
196205    4.20   -9.11   -7.12   -6.86  -10.65   -7.52   -6.10   -6.64   -7.64  -11.00   -9.51   -7.05   -8.96   -7.74   -4.81   -7.46   -6.06   -8.08   -7.21
196206  -16.26   -9.04   -6.95   -6.72  -10.49   -7.43   -6.48   -6.13   -7.23  -11.12   -8.51   -7.17   -8.23   -7.54   -5.66   -6.02   -6.21   -7.41   -7.07
196207   11.17    8.08    5.26    4.14    8.56    6.46    4.81    3.13    4.28   10.62    5.35    6.54    6.41    5.76    4.21    2.46    3.92    3.06    5.72
196208    7.42    2.78    1.74    2.46    2.84    2.39    1.38    1.67    2.55    2.80    2.90    2.58    2.27    1.01    1.62    1.12    2.31    1.57    3.68
