Month     Less0   Lo30    Med40   Hi30    Lo20    Qnt2    Qnt3    Qnt4    Hi20    Lo10    Dec2    Dec3    Dec4    Dec5    Dec6    Dec7    Dec8    Dec9    Hi10
196107    4.29    1.96    4.19    3.38    2.02    3.92    3.55    4.20    2.42    1.28    3.19    1.74    5.20    3.24    3.78    3.86    5.23    2.30    2.52
196108   -2.54    4.22    1.53    0.59    4.43    1.32    2.58    1.34    0.93    4.34    4.57    3.46    0.10    4.10    1.50    1.80   -0.03    0.94    0.92
196109   -9.82   -1.01   -1.37   -5.05   -0.71   -1.07    0.11   -5.03   -4.54    0.33   -2.32   -2.12   -0.45   -0.97    0.90   -4.70   -6.01   -5.92   -3.47
196110    3.69    2.82    2.63    4.23    3.95    0.37    2.49    4.31    4.34    4.13    3.67   -1.51    1.45    4.85    0.79    4.41    4.02    4.81    3.98
196111   -1.78    3.47    5.89    4.17    3.32    5.80    5.98    4.33    4.57    2.77    4.18    4.06    6.77    4.43    7.13    4.63    3.40    3.93    5.05
196112    3.23   -1.28    1.28    1.62   -1.11   -0.14    0.52    2.34    2.30   -0.93   -1.39   -1.95    0.85   -1.43    1.95    3.00    0.29    1.15    3.17
196201    9.35   -5.83   -2.95   -0.34   -6.20   -4.67   -2.63   -1.13    0.32   -7.05   -4.87   -4.31   -4.87   -3.73   -1.85   -0.97   -1.65   -0.02    0.57
196202   -2.05    1.34    2.51    2.57    1.55    2.28    0.80    3.35    3.46    0.29    3.48    0.49    3.24    2.61   -0.45    4.16    0.75    4.01    3.06
196203   -1.49    0.18   -0.41   -1.98    0.70   -1.97    0.79   -0.33   -2.54    1.31   -0.22   -1.90   -2.01    0.30    1.13   -0.19   -0.80   -1.69   -3.18
196204  -14.20   -8.05   -4.82   -5.54   -7.97   -5.28   -5.50   -5.49   -5.13   -8.96   -6.47   -8.39   -3.66   -5.40   -5.57   -5.23   -6.38   -5.29   -5.01
196205   -4.47  -10.55   -7.07   -6.41  -11.19   -8.38   -7.19   -5.21   -6.70  -11.38  -10.91   -7.91   -8.62   -9.57   -5.51   -5.02   -5.83   -6.44   -6.89
196206   -2.53  -10.57   -6.69   -6.43  -10.76   -8.23   -6.66   -6.43   -5.45  -12.36   -8.39   -9.79   -7.44   -7.09   -6.37   -5.84   -8.43   -5.90   -5.12
196207    8.97    8.94    5.75    4.63    9.72    6.46    4.07    5.50    4.03   10.85    8.33    5.14    6.80    3.98    4.23    5.78    5.28    3.67    4.48
196208    5.51    2.46    2.33    1.86    2.68    2.16    1.84    1.99    2.61    2.35    3.09    1.33    2.37    2.24    1.21    3.16    1.07    1.81    3.61
196209   -7.32   -6.26   -4.31   -3.52   -6.56   -3.93   -5.78   -2.90   -4.34   -8.14   -4.59   -4.67   -3.75   -5.68   -5.95   -3.24   -2.62   -5.12   -3.38
196210   -1.61   -0.06    1.35   -0.10    0.03    1.92    0.45   -0.18   -0.29   -1.61    2.01   -0.53    2.52    1.34   -1.01   -0.55    0.11   -0.42   -0.13
196211   18.24   12.74    9.12   11.35   12.98    7.95   11.84   10.72   11.75   13.77   12.06   11.50    7.10   11.26   12.79   10.45   10.93   11.60   11.93
196212   -5.31    0.94    1.68    2.58    0.80    1.88    0.39    2.91    2.56    0.09    1.65    1.63    1.95    0.93   -0.49    3.31    2.60    3.49    1.43
196301    4.68    4.65    5.59    4.07    4.47    5.89    5.46    3.58    5.32    5.35    3.44    5.57    5.97    5.86    4.80    4.67    2.72    4.09    6.84
196302   -2.54   -3.16   -2.20   -1.19   -3.40   -2.32   -1.88   -1.52   -1.35   -3.41   -3.40   -1.93   -2.41   -2.29   -1.19   -2.16   -1.00   -1.99   -0.58
196303    3.24    2.53    3.58    5.23    2.44    3.69    2.33    4.92    5.56    2.74    2.09    2.99    3.87    2.49    2.08    4.99    4.86    5.16    6.03
196304    3.29    4.79    4.05    6.15    5.11    3.77    4.65    4.71    6.49    5.82    4.27    3.14    3.92    4.10    5.56    3.36    5.78    6.84    6.09
196305    2.42    2.17    1.85    1.94    2.14    2.18    2.43    0.50    2.80    2.26    2.00    2.32    2.15    2.83    1.78   -0.12    0.98    2.10    3.64
196306   -1.99   -2.68   -1.90   -0.53   -3.01   -2.26   -2.17    0.13   -0.71   -2.99   -3.04   -0.96   -2.58   -2.02   -2.42    0.70   -0.32   -1.01   -0.36
196307    0.60   -0.35    0.75   -0.56   -0.45    0.22    0.80   -0.64    0.40   -0.82    0.72   -0.16    0.99    0.71    0.88    0.23   -1.62    0.28    0.50
196308    0.91    5.47    4.79    6.56    5.71    4.89    4.51    6.86    5.70    5.70    5.72    5.03    4.60    3.56    5.35    6.27    7.54    5.13    6.23
196309   -4.76   -0.62   -1.69   -1.96   -1.11   -0.53   -1.73   -1.20   -2.33   -0.78   -2.16    0.28   -2.16   -3.14   -0.50   -0.89   -1.54   -1.83   -2.79
196310    2.28    3.43    3.20    2.05    3.38    3.06    4.40    0.82    1.87    3.86    1.86    3.52    2.11    0.76    7.48   -0.41    2.24    0.71    2.93
196311   -3.24    0.59   -1.78   -1.09   -0.13    1.21   -2.33   -1.91    0.09    0.11   -0.92    1.88   -0.19    0.62   -4.67   -1.48   -2.38    0.14    0.03
196312   -5.68    1.91    2.59    2.80    2.67    1.41    2.75    2.55    1.55    2.82    2.20    0.57    3.19    5.10    0.77    1.08    4.22    2.09    1.07
196401    3.85    2.95    2.64    2.11    2.89    2.53    2.83    2.18    3.36    3.33    1.42    3.06    1.43    3.78    1.99    3.50    0.72    3.26    3.45
196402    4.04    1.34    1.66    3.95    2.15    0.57    1.38    2.98    4.17    2.31    1.62   -0.12    2.04    1.54    1.24    2.35    3.71    2.99    5.25
196403    1.36    0.69    2.60    3.36    0.80    1.33    1.84    4.07    3.83    1.18   -0.46    0.47    3.11    1.78    1.91    5.20    2.82    3.26    4.34
196404    8.53   -0.68    1.91    0.52   -1.29    0.16    3.05    0.55    0.22   -1.68    0.04    0.46   -0.45    2.72    3.35    0.26    0.87   -0.76    1.08
196405   -0.25    1.15    1.67    3.03    2.06    0.09    1.66    2.97    2.32    2.22    1.53   -0.50    1.30    1.93    1.42    2.19    3.85    1.60    2.94
196406   -2.10    2.07    1.26    1.69    0.85    3.42    1.18    2.12    0.44    0.40    2.36    4.36    1.55    0.51    1.79    1.22    3.11    0.27    0.58
196407    5.73    0.94    3.36    2.21    1.58    0.61    3.64    2.68    2.37    0.53    3.55   -0.16    2.51    4.06    2.26    3.21    2.03    3.57    0.91
196408   -4.80   -1.60   -0.79   -0.09   -1.80   -1.30   -0.21   -0.76   -1.21   -2.20   -1.06   -1.24   -1.43   -0.05   -0.76   -2.24    1.09   -0.20   -2.49
196409    7.47    2.28    3.24    4.84    3.04    1.62    3.12    3.97    5.41    2.93    3.24    0.95    3.24    3.22    2.77    3.72    4.26    4.65    6.39
196410    6.08   -0.14    1.90    0.77   -0.33    0.63    1.81    1.11    2.03   -0.92    0.75    0.19    1.68    2.29    0.18    2.48   -0.53    1.95    2.14
196411   -1.64    0.36    0.81   -0.69    0.96    0.06    0.17    1.23   -1.40    0.67    1.46   -0.69    1.78    0.02    0.71    2.15    0.08   -1.79   -0.92
196412   -5.04    1.19    0.18   -1.19    1.01    1.01    0.53   -0.68   -1.76    0.95    1.12    1.52   -0.16    0.55    0.47   -0.76   -0.58   -1.85   -1.65
196501    8.20    4.68    2.45    4.19    6.13    2.64    1.92    2.90    5.35    6.83    4.92    2.08    3.92    1.23    4.28    2.85    2.97    5.94    4.62
196502    4.65    1.12   -0.20    1.12    0.99    1.66   -0.97   -0.05    2.15    1.36    0.32    1.36    2.35   -1.64    1.26   -0.13    0.03    0.72    3.93
196503    1.34   -1.35   -1.23   -0.13   -1.24   -1.60   -0.64   -1.79    0.17   -1.28   -1.17   -1.56   -1.69   -0.77   -0.23   -2.85   -0.45    0.03    0.33
196504    7.80    3.68    3.47    3.16    4.17    2.97    3.69    2.47    4.02    5.63    1.55    2.75    3.44    4.24    1.94    2.68    2.21    3.14    5.08
196505    0.96    0.61   -1.04   -0.65   -0.02    0.80   -1.70    0.16    0.53   -0.41    0.73    1.80   -1.43   -2.06   -0.49    1.87   -1.96    0.50    0.57
196506  -11.11   -4.77   -4.69   -5.71   -4.86   -4.64   -4.68   -4.91   -6.16   -4.60   -5.36   -4.61   -4.73   -4.27   -6.01   -4.69   -5.19   -3.90   -8.84
196507    5.57    1.48    1.20    3.51    2.27    0.02    2.08    3.97    3.37    2.24    2.30    0.48   -0.97    2.33    1.87    4.18    3.74    3.81    2.74
196508    8.65    2.87    3.21    2.47    3.61    2.03    3.67    2.72    3.30    4.47    2.57    1.93    2.26    2.86    4.39    4.16    1.09    2.40    4.62
196509    4.92    3.44    2.81    4.56    3.31    3.48    2.51    4.18    3.90    3.02    3.65    3.62    3.18    2.15    2.82    2.90    5.66    2.72    5.59
196510    5.79    2.29    3.06    5.73    2.43    2.42    2.63    4.51    6.42    2.65    2.16    2.11    3.12    2.52    2.73    4.45    4.57    5.22    8.10
196511   22.56   -0.56    0.63    2.30    1.22   -2.11    0.87    2.60    2.01    2.67   -0.55   -2.91   -0.36   -0.07    1.69    2.44    2.78    0.97    3.42
196512    5.94    0.67    1.52    2.60    1.17    0.10    2.03    2.05    3.44    2.63   -0.69   -0.02    0.35    3.30    0.94    2.82    1.18    3.76    3.01
196601    6.18   -0.21    1.50    4.16   -0.15   -0.55    2.36    4.04    4.85    0.09   -0.46   -0.30   -1.06    3.08    1.73    4.98    2.96    4.48    5.33
196602    9.33   -0.86   -2.06    1.14   -0.65   -1.47   -2.60   -0.03    1.81   -0.92   -0.30   -1.14   -2.16   -2.02   -3.11   -0.03   -0.03   -0.16    4.42
196603    2.04   -1.94   -2.42   -1.19   -0.36   -3.56   -2.32   -2.32   -1.10    0.63   -1.65   -4.16   -2.25   -2.72   -1.97   -3.14   -1.37   -2.47    0.63
196604    1.83    2.21    2.33    3.14    3.53    0.82    2.59    2.51    3.32    3.84    3.13    0.28    1.99    3.39    1.89    2.25    2.81    2.65    4.14
196605  -17.38   -4.42   -5.45   -7.27   -4.29   -4.61   -5.57   -6.47   -8.02   -4.53   -3.97   -4.61   -4.64   -6.04   -5.15   -6.94   -5.93   -7.59   -8.54
196606    1.58   -1.23   -1.91    1.36   -1.08   -2.16   -1.47    1.04    1.35   -0.37   -2.03   -1.47   -3.62   -1.55   -1.40    0.75    1.37    0.41    2.48
196607   -5.14   -1.88   -0.65   -0.68   -1.92   -1.57   -0.67   -0.34   -0.48   -2.02   -1.81   -1.65   -1.49   -0.55   -1.14    0.04   -1.02   -0.22   -0.92
196608  -13.76   -7.38   -7.16   -8.35   -7.17   -7.92   -7.36   -7.07   -8.27   -7.27   -7.05   -8.40   -7.32   -7.26   -7.77   -6.28   -8.48   -8.04   -8.67
196609   -4.24   -1.24    0.20   -0.96   -1.44   -0.89    0.02    0.69   -0.33   -2.18   -0.56   -0.28   -1.64   -0.18    0.82    2.21   -2.08    1.15   -2.86
196610   -8.43    3.92    5.49    2.86    3.51    5.69    5.39    4.33    3.61    1.87    5.44    5.84    5.50    5.73    4.03    5.84    1.48    3.84    3.21
196611   14.16    5.17   -1.36    0.77    5.85    1.87   -2.67    0.83    1.15    7.76    3.68    2.03    1.68   -3.38    0.18    1.21    0.08    2.00   -0.38
196612   -3.34   -0.40    1.20    0.22   -0.79    2.04    1.21    0.57   -0.52   -1.08   -0.44    1.46    2.77    0.67    3.31    0.06    1.60   -0.97    0.31
196701   28.81    7.24    7.67   12.94    7.15    8.59    7.43    8.96   13.05    7.28    6.99    7.68    9.70    7.13    8.59    7.04   12.74   10.64   17.39
196702    4.12    2.66   -0.31   -0.54    3.15   -0.17   -0.13   -0.55   -0.56    3.63    2.60    0.34   -0.80   -0.13   -0.13   -0.56   -0.52   -0.65   -0.39
196703    2.27    4.10    4.23    5.62    4.16    4.16    4.27    4.51    5.55    4.79    3.40    3.83    4.56    4.34    4.02    3.84    5.76    4.05    8.10
196704    5.34    5.95    2.84    3.97    6.33    3.23    2.80    3.80    3.72    6.47    6.16    4.09    2.18    2.95    2.25    3.47    4.42    3.84    3.51
196705   -1.82   -4.84   -4.12   -2.76   -5.04   -3.46   -4.59   -3.01   -2.94   -5.92   -3.99   -3.83   -2.99   -5.26   -2.05   -3.32   -2.45   -2.10   -4.32
196706    8.55    2.38    1.66    4.00    2.73    1.28    1.23    2.86    4.61    2.78    2.68    0.65    2.05    0.98    2.14    2.83    2.90    4.51    4.77
196707    8.03    4.33    4.67    7.41    4.36    1.04    7.82    6.82    7.70    3.23    6.31    4.22   -1.10    6.72    8.62    6.71    6.95    8.26    7.19
196708   -0.54   -0.61   -1.06    0.00   -0.78   -0.39   -1.29   -1.34    1.12   -1.24   -0.01    0.02   -0.68   -1.31   -1.28   -0.98   -1.80    1.87    0.43
196709    8.42    4.04    3.00    2.64    3.94    3.41    3.54    1.64    3.14    5.16    1.90    4.39    2.71    3.18    3.80    1.50    1.83    2.80    3.45
196710   -7.26   -0.95   -3.44   -4.99    0.05   -4.05   -2.57   -6.04   -4.83    1.91   -3.16   -4.64   -3.62   -0.43   -4.10   -6.66   -5.26   -2.17   -7.28
196711    6.94    1.78   -0.24   -0.46    2.03    0.15   -0.39   -0.24    0.07    2.63    0.93    0.83   -0.34   -0.60   -0.23    0.65   -1.35   -0.66    0.77
196712   10.64    2.12    3.46    5.64    2.08    2.57    3.77    5.48    4.48    2.53    1.24    2.30    2.77    4.04    3.57    3.82    7.61    4.89    4.08
